Entry ID,Crystallization Method,Temp (K),pH,Matthews Coefficient,Percent Solvent Content,Component_1_Name,Component_1_Conc,Component_1_pH,Temp_pH_interaction,Matthews_Solvent_interaction,pH_diff,Solvent_Matthews_ratio,Temp_Category,pH_Category
8SUC,"VAPOR DIFFUSION, HANGING DROP",277.15,7.083070431696804,3.02,59.29,HEPES,0.0001,7.083070431696804,1963.072970144769,179.0558,0.0,19.63244383031661,Low,Neutral
8TCE,"VAPOR DIFFUSION, SITTING DROP",293.0,6.5,1.9,35.12,TRISODIUM CITRATE,1.0,7.0,1904.5,66.728,-0.5,18.484200797789054,Medium,Neutral
8TI5,"VAPOR DIFFUSION, SITTING DROP",298.0,6.857142857142857,2.42,49.17,CITRIC ACID,0.1,3.5,2043.4285714285713,118.9914,3.3571428571428568,20.31817342224239,High,Neutral
8TI6,"VAPOR DIFFUSION, SITTING DROP",298.0,6.5,2.04,39.64,CITRIC ACID,0.1,4.0,1937.0,80.8656,2.5,19.431363023841655,High,Neutral
8UCY,"VAPOR DIFFUSION, HANGING DROP",293.15,8.5,2.03,39.33,AMMONIUM SULPHATE,2.0,8.5,2491.7749999999996,79.83989999999999,0.0,19.374374692426258,Medium,Basic
8V9B,"VAPOR DIFFUSION, SITTING DROP",294.0,6.5,2.01,38.75,MAGNESIUM SULFATE,1.6,6.5,1911.0,77.88749999999999,0.0,19.278597373832152,Medium,Neutral
8VF3,"VAPOR DIFFUSION, HANGING DROP",289.15,7.4,2.04,39.7,THE CRYSTALLIZATION BUFFER WAS 100 MM BIS-TRIS BUFFER (ADJUSTED TO,1.4658200356353808,5.0,2139.71,80.98800000000001,2.4000000000000004,19.460774774130012,Medium,Neutral
8YVW,"VAPOR DIFFUSION, SITTING DROP",277.0,8.0,2.24,45.17,PEG 3350,2.5,8.0,2216.0,101.18080000000002,0.0,20.165169569120724,Low,Neutral
8Z75,"VAPOR DIFFUSION, HANGING DROP",288.0,3.5005134280633654,2.25,45.44,HEPES,0.1,3.5005134280633654,1008.1478672822492,102.24,0.0,20.195546579757075,Medium,Acidic
9AVK,"VAPOR DIFFUSION, SITTING DROP",293.15,7.0,1.88,34.7,NA MALONATE,2.4,7.0,2052.0499999999997,65.236,0.0,18.457436990725007,Medium,Neutral
9F4G,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.06,40.42,TRIS-HCL,0.1,8.5,2456.5,83.26520000000001,0.0,19.621349698373933,Medium,Basic
9F4H,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.8,TRIS-HCL,0.1,8.5,2456.5,84.86399999999999,0.0,19.615375184915774,Medium,Basic
9F4J,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.76,TRIS-HCL,0.1,8.5,2456.5,84.7808,0.0,19.59614442493056,Medium,Basic
9F4L,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.85,TRIS-HCL,0.1,8.5,2456.5,84.968,0.0,19.639413634897288,Medium,Basic
9F4N,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.9,TRIS-HCL,0.1,8.5,2456.5,85.072,0.0,19.663452084878802,Medium,Basic
9F4O,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.07,40.68,TRIS-HCL,0.1,8.5,2456.5,84.2076,0.0,19.652164419244244,Medium,Basic
9F4P,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.84,TRIS-HCL,0.1,8.5,2456.5,84.94720000000001,0.0,19.634605944900986,Medium,Basic
9F4Q,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.07,40.66,TRIS-HCL,0.1,8.5,2456.5,84.16619999999999,0.0,19.642502588162998,Medium,Basic
9F4S,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.07,40.56,TRIS-HCL,0.1,8.5,2456.5,83.9592,0.0,19.594193432756796,Medium,Basic
9F4T,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.75,TRIS-HCL,0.1,8.5,2456.5,84.76,0.0,19.59133673493426,Medium,Basic
9F4U,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.81,TRIS-HCL,0.1,8.5,2456.5,84.88480000000001,0.0,19.62018287491208,Medium,Basic
9F4V,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.07,40.61,TRIS-HCL,0.1,8.5,2456.5,84.06269999999999,0.0,19.618348010459897,Medium,Basic
9F4Y,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.07,40.64,TRIS-HCL,0.1,8.5,2456.5,84.1248,0.0,19.63284075708176,Medium,Basic
9F5C,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.83,TRIS-HCL,0.1,8.5,2456.5,84.9264,0.0,19.62979825490468,Medium,Basic
9F5E,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.07,40.67,TRIS-HCL,0.1,8.5,2456.5,84.1869,0.0,19.64733350370362,Medium,Basic
9F5F,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.07,40.64,TRIS-HCL,0.1,8.5,2456.5,84.1248,0.0,19.63284075708176,Medium,Basic
8J81,"VAPOR DIFFUSION, SITTING DROP",293.0,4.5,2.51,50.97,SODIUM ACETATE TRIHYDRATE,1.0,4.5,1318.5,127.93469999999999,0.0,20.306764818021986,Medium,Acidic
8OSV,VAPOR DIFFUSION,291.0,7.5,2.59,52.5,HEPES,0.1,7.5,2182.5,135.975,0.0,20.270262443914113,Medium,Neutral
8OSZ,VAPOR DIFFUSION,291.0,7.5,2.59,52.5,HEPES,0.1,7.5,2182.5,135.975,0.0,20.270262443914113,Medium,Neutral
8OTK,"VAPOR DIFFUSION, SITTING DROP",289.15,4.5,2.25,45.35,LITHIUM SULFATE,0.2,4.5,1301.175,102.03750000000001,0.0,20.155546597534844,Medium,Acidic
8OTP,"VAPOR DIFFUSION, HANGING DROP",296.0,8.0,2.1,41.49,SODIUM CITRATE,1.5,8.0,2368.0,87.129,0.0,19.75713344898407,High,Neutral
8OUB,"VAPOR DIFFUSION, HANGING DROP",296.0,8.49991747351858,2.11,41.81,SODIUM CITRATE,1.5,8.49991747351858,2515.9755721614997,88.2191,0.0,19.815156485707828,High,Basic
8P5B,"VAPOR DIFFUSION, SITTING DROP",293.0,6.485714285714286,2.6,52.68,"SODIUM FORMATE 0.1M AMMONIUM 
ACETATE 0.1M SODIUM CITRATE TRIBASIC 
DIHYDRATE 0.1M POTASSIUM SODIUM TARTRATE 
TETRAHYDRATE 0.1M SODIUM OXAMATE",0.1,6.485714285714286,1900.3142857142857,136.96800000000002,0.0,20.26153066864205,Medium,Neutral
8QCU,"VAPOR DIFFUSION, SITTING DROP",290.15,4.5,2.13,42.38,HEWL,1.461370742651817,4.5,1305.675,90.2694,0.0,19.89670427384776,Medium,Acidic
8QMH,"VAPOR DIFFUSION, SITTING DROP",292.0,6.0,1.92,35.78,NACL,0.08,6.0,1752.0,68.6976,0.0,18.635406960725543,Medium,Acidic
8SH6,"VAPOR DIFFUSION, SITTING DROP",292.0,9.5,2.15,42.8,CHES,0.1,9.5,2774.0,92.02,0.0,19.9069674851314,Medium,Basic
8SH8,"VAPOR DIFFUSION, SITTING DROP",292.0,9.5,2.08,40.97,CHES,0.1,9.5,2774.0,85.2176,0.0,19.697105914852923,Medium,Basic
8VFL,"VAPOR DIFFUSION, HANGING DROP",298.0,6.557142857142857,2.23,44.86,24-30% PEG 4000,1.5827535683133265,6.557142857142857,1954.0285714285715,100.0378,0.0,20.116582907361924,High,Neutral
