Entry ID,Crystallization Method,Temp (K),pH,Matthews Coefficient,Percent Solvent Content,Component_1_Name,Component_1_Conc,Component_1_pH,Crystallization_Method_Clean,Component_1_Name_Clean,Component_1_Conc_Normalized,Conc_Unit,Combined_Text,Method_Encoded,Component_Encoded,Temp (K)_scaled,pH_scaled,Matthews Coefficient_scaled,Percent Solvent Content_scaled
8SUC,"VAPOR DIFFUSION, HANGING DROP",277.15,6.9,3.02,59.29,HEPES,0.1 mM,6.9,"VAPOR DIFFUSION, HANGING DROP",HEPES,-4.0,MM,"VAPOR DIFFUSION, HANGING DROP [SEP] HEPES",12,923,-2.3523111582304512,0.06922280188624062,2.4201754999960534,2.0280016221843176
8TCE,"VAPOR DIFFUSION, SITTING DROP",293.0,6.5,1.9,35.12,TRISODIUM CITRATE,1000 mM,7.0,"VAPOR DIFFUSION, SITTING DROP",TRISODIUM CITRATE,0.0,MM,"VAPOR DIFFUSION, SITTING DROP [SEP] TRISODIUM CITRATE",13,2274,0.28525260140101494,-0.20361411358615206,-1.0738779667069842,-1.2130513838065142
8TI5,"VAPOR DIFFUSION, SITTING DROP",298.0,6.9,2.42,49.17,CITRIC ACID,0.1 M,3.5,"VAPOR DIFFUSION, SITTING DROP",CITRIC ACID,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] CITRIC ACID",13,728,1.1172916422942207,0.06922280188624062,0.5483611428337116,0.6709699126010652
8TI6,"VAPOR DIFFUSION, SITTING DROP",298.0,6.24,2.04,39.64,CITRIC ACID,0.1 M,4.0,"VAPOR DIFFUSION, SITTING DROP",CITRIC ACID,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] CITRIC ACID",13,728,1.1172916422942207,-0.380958108643207,-0.6371212833691042,-0.6069463119373141
8UCY,"VAPOR DIFFUSION, HANGING DROP",293.15,8.5,2.03,39.33,AMMONIUM SULPHATE,2.0 M,8.5,"VAPOR DIFFUSION, HANGING DROP",AMMONIUM SULPHATE,0.3010299956639812,M,"VAPOR DIFFUSION, HANGING DROP [SEP] AMMONIUM SULPHATE",12,577,0.3102137726278073,1.16057046377581,-0.6683181893218106,-0.6485154650964852
8V9B,"VAPOR DIFFUSION, SITTING DROP",294.0,6.5,2.01,38.75,MAGNESIUM SULFATE,1.6 M,6.5,"VAPOR DIFFUSION, SITTING DROP",MAGNESIUM SULFATE,0.2041199826559248,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MAGNESIUM SULFATE",13,1114,0.4516604095796561,-0.20361411358615206,-0.7307120012272221,-0.726290009716869
8VF3,"VAPOR DIFFUSION, HANGING DROP",289.15,7.4,2.04,39.7,THE CRYSTALLIZATION BUFFER WAS 100 MM BIS-TRIS BUFFER (ADJUSTED TO,,5.0,"VAPOR DIFFUSION, HANGING DROP",THE CRYSTALLIZATION BUFFER WAS 100 MM BIS-TRIS BUFFER (ADJUSTED TO,-0.6989700043360187,UNKNOWN,"VAPOR DIFFUSION, HANGING DROP [SEP] THE CRYSTALLIZATION BUFFER WAS 100 MM BIS-TRIS BUFFER (ADJUSTED TO",12,2181,-0.3554174600867573,0.41026894622673116,-0.6371212833691042,-0.5989006693903776
8YVW,"VAPOR DIFFUSION, SITTING DROP",277.0,8.0,2.24,45.17,PEG 3350,25%,8.0,"VAPOR DIFFUSION, SITTING DROP",PEG 3350,0.3979400086720376,%,"VAPOR DIFFUSION, SITTING DROP [SEP] PEG 3350",13,1441,-2.3772723294572438,0.8195243194353196,-0.013183164314989919,0.13459374280531317
8Z75,"VAPOR DIFFUSION, HANGING DROP",288.0,5.1,2.25,45.44,HEPES,0.1 M,5.1,"VAPOR DIFFUSION, HANGING DROP",HEPES,-1.0,M,"VAPOR DIFFUSION, HANGING DROP [SEP] HEPES",12,923,-0.5467864394921909,-1.158543317739526,0.018013741637715106,0.1707991342665259
9AVK,"VAPOR DIFFUSION, SITTING DROP",293.15,6.7,1.88,34.7,NA MALONATE,2.4 M,7.0,"VAPOR DIFFUSION, SITTING DROP",NA MALONATE,0.38021124171160603,M,"VAPOR DIFFUSION, SITTING DROP [SEP] NA MALONATE",13,1288,0.3102137726278073,-0.06719565584995571,-1.1362717786123957,-1.2693708816350675
