Entry ID,Crystallization Method,Temp (K),pH,Matthews Coefficient,Percent Solvent Content,Component_1_Name,Component_1_Conc,Component_1_pH,Component_2_Name,Component_2_Conc,Component_2_pH,Component_3_Name,Component_3_Conc,Component_3_pH,Component_4_Name,Component_4_Conc,Component_4_pH,Component_5_Name,Component_5_Conc,Component_5_pH,Component_6_Name,Component_6_Conc,Component_6_pH
8SUC,"VAPOR DIFFUSION, HANGING DROP",277.15,,3.02,59.29,HEPES,0.1 mM,,PEG 4000,,,,,,,,,,,,,,
8TCE,"VAPOR DIFFUSION, SITTING DROP",293.0,6.5,1.9,35.12,TRISODIUM CITRATE,1000 mM,7.0,HEPES,100 mM,6.0,,,,,,,,,,,,
8TI5,"VAPOR DIFFUSION, SITTING DROP",298.0,,2.42,49.17,CITRIC ACID,0.1 M,3.5,AMMONIUM SULFATE,2 M,,,,,,,,,,,,,
8TI6,"VAPOR DIFFUSION, SITTING DROP",298.0,,2.04,39.64,CITRIC ACID,0.1 M,4.0,AMMONIUM SULFATE,0.8 M,,,,,,,,,,,,,
8UCY,"VAPOR DIFFUSION, HANGING DROP",293.15,8.5,2.03,39.33,AMMONIUM SULPHATE,2.0 M,,TRIS,0.1 M,,SAM PROTEIN,12 mg/mL,,,,,,,,,,
8V9B,"VAPOR DIFFUSION, SITTING DROP",294.0,6.5,2.01,38.75,MAGNESIUM SULFATE,1.6 M,,MES,100 mM,6.5,,,,,,,,,,,,
8VF3,"VAPOR DIFFUSION, HANGING DROP",289.15,7.4,2.04,39.7,THE CRYSTALLIZATION BUFFER WAS 100 MM BIS-TRIS BUFFER (ADJUSTED TO,,5.0,MAGNESIUM ACETATE AND 20-32% PEG 3350,0.2 M,,,,,,,,,,,,,
8YVW,"VAPOR DIFFUSION, SITTING DROP",277.0,8.0,2.24,45.17,PEG 3350,25%,,MAGNESIUM FORMATE,0.1M,,IMIDAZOLE/HCL BUFFER,0.1 M,,,,8.0,L-AZETIDINE-2-CARBOXYLATE,5 mM,,,,
8Z75,"VAPOR DIFFUSION, HANGING DROP",288.0,,2.25,45.44,HEPES,0.1 M,,,,7.5,PEG 8000,21%,,ETHYLENE GLYCOL,8%,,,,,,,
9AVK,"VAPOR DIFFUSION, SITTING DROP",293.15,,1.88,34.7,NA MALONATE,2.4 M,7.0,NASCN,0.2 M,,,,,,,,,,,,,
9F4G,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.06,40.42,TRIS-HCL,0.1 M,,,,8.5,PEG-4000,25%,,2-METHYL-2,8%,,4-PENTANEDIOL,,,,,
9F4H,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.8,TRIS-HCL,0.1 M,,,,8.5,PEG-4000,25%,,2-METHYL-2,8%,,4-PENTANEDIOL,,,,,
9F4J,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.76,TRIS-HCL,0.1 M,,,,8.5,PEG-4000,25%,,2-METHYL-2,8%,,4-PENTANEDIOL,,,,,
9F4L,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.85,TRIS-HCL,0.1 M,,,,8.5,PEG-4000,25%,,2-METHYL-2,8%,,4-PENTANEDIOL,,,,,
9F4N,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.9,TRIS-HCL,0.1 M,,,,8.5,PEG-4000,25%,,2-METHYL-2,8%,,4-PENTANEDIOL,,,,,
9F4O,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.07,40.68,TRIS-HCL,0.1 M,,,,8.5,PEG-4000,25%,,2-METHYL-2,8%,,4-PENTANEDIOL,,,,,
9F4P,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.84,TRIS-HCL,0.1 M,,,,8.5,PEG-4000,25%,,2-METHYL-2,8%,,4-PENTANEDIOL,,,,,
9F4Q,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.07,40.66,TRIS-HCL,0.1 M,,,,8.5,PEG-4000,25%,,2-METHYL-2,8%,,4-PENTANEDIOL,,,,,
9F4S,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.07,40.56,TRIS-HCL,0.1 M,,,,8.5,PEG-4000,25%,,2-METHYL-2,8%,,4-PENTANEDIOL,,,,,
9F4T,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.75,TRIS-HCL,0.1 M,,,,8.5,PEG-4000,25%,,2-METHYL-2,8%,,4-PENTANEDIOL,,,,,
9F4U,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.81,TRIS-HCL,0.1 M,,,,8.5,PEG-4000,25%,,2-METHYL-2,8%,,4-PENTANEDIOL,,,,,
9F4V,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.07,40.61,TRIS-HCL,0.1 M,,,,8.5,PEG-4000,25%,,2-METHYL-2,8%,,4-PENTANEDIOL,,,,,
9F4Y,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.07,40.64,TRIS-HCL,0.1 M,,,,8.5,PEG-4000,25%,,2-METHYL-2,8%,,4-PENTANEDIOL,,,,,
9F5C,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.83,TRIS-HCL,0.1 M,,,,8.5,PEG-4000,25%,,2-METHYL-2,8%,,4-PENTANEDIOL,,,,,
9F5E,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.07,40.67,TRIS-HCL,0.1 M,,,,8.5,PEG-4000,25%,,2-METHYL-2,8%,,4-PENTANEDIOL,,,,,
9F5F,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.07,40.64,TRIS-HCL,0.1 M,,,,8.5,PEG-4000,25%,,2-METHYL-2,8%,,4-PENTANEDIOL,,,,,
8J81,"VAPOR DIFFUSION, SITTING DROP",293.0,4.5,2.51,50.97,SODIUM ACETATE TRIHYDRATE,1M,4.5,SODIUM CHROLIDE. PEPTOID DISSOLVED IN DMSO WAS INCLUDED. THE FINAL DMSO CONCENTRATION WAS 2.4%,3.0 M,,,,,,,,,,,,,
8OSV,VAPOR DIFFUSION,291.0,7.5,2.59,52.5,HEPES,100 mM,,PH: 7.5,,,PEG4000 150 MM SODIUM ACETATE,25%,,LITHIUM SULFATE,200 mM,,,,,,,
8OSZ,VAPOR DIFFUSION,291.0,7.5,2.59,52.5,HEPES,100 mM,,,,7.5,PEG4000,25 %,,SODIUM ACETATE,150 mM,,LITHIUM SULFATE,200 mM,,,,
8OTK,"VAPOR DIFFUSION, SITTING DROP",289.15,4.5,2.25,45.35,LITHIUM SULFATE,0.2M,,SODIUM ACETATE,0.1M,4.5,W/V PEG 400,50%,,,,,,,,,,
8OTP,"VAPOR DIFFUSION, HANGING DROP",296.0,,2.1,41.49,SODIUM CITRATE,1.5 M,,TRIS,0.1 M,8.0,,,,,,,,,,,,
8OUB,"VAPOR DIFFUSION, HANGING DROP",296.0,,2.11,41.81,SODIUM CITRATE,1.5 M,,TRIS,0.1 M,8.0,,,,,,,,,,,,
8P5B,"VAPOR DIFFUSION, SITTING DROP",293.0,,2.6,52.68,"SODIUM FORMATE 0.1M AMMONIUM 
ACETATE 0.1M SODIUM CITRATE TRIBASIC 
DIHYDRATE 0.1M POTASSIUM SODIUM TARTRATE 
TETRAHYDRATE 0.1M SODIUM OXAMATE",0.1 M,,IMIDAZOLE/MES,0.1M,6.5,V/V MPD 12.5% PEG 1000 12.5% W/V PEG 3350,12.5%,,,,,,,,,,
8QCU,"VAPOR DIFFUSION, SITTING DROP",290.15,4.5,2.13,42.38,HEWL,,,REAA,,,IMIDAZOLE,,,NACL,1.0 M,,AND 0.05 M SODIUM ACETATE AT 4.5 PH.,,,,,
