Entry ID,Crystallization Method,Temp (K),pH,Matthews Coefficient,Percent Solvent Content,Component_1_Name,Component_1_Conc,Component_1_pH
8SUC,"VAPOR DIFFUSION, HANGING DROP",277.15,6.540280620114798,3.02,59.29,HEPES,59.29,6.540280620114798
8TCE,"VAPOR DIFFUSION, SITTING DROP",293.0,6.5,1.9,35.12,TRISODIUM CITRATE,35.12,7.0
8TI5,"VAPOR DIFFUSION, SITTING DROP",298.0,6.9,2.42,49.17,CITRIC ACID,49.17,3.5
8TI6,"VAPOR DIFFUSION, SITTING DROP",298.0,6.5,2.04,39.64,CITRIC ACID,39.64,4.0
8UCY,"VAPOR DIFFUSION, HANGING DROP",293.15,8.5,2.03,39.33,AMMONIUM SULPHATE,39.33,8.5
8V9B,"VAPOR DIFFUSION, SITTING DROP",294.0,6.5,2.01,38.75,MAGNESIUM SULFATE,38.75,6.5
8VF3,"VAPOR DIFFUSION, HANGING DROP",289.15,7.4,2.04,39.7,THE CRYSTALLIZATION BUFFER WAS 100 MM BIS-TRIS BUFFER (ADJUSTED TO,39.7,5.0
8YVW,"VAPOR DIFFUSION, SITTING DROP",277.0,8.0,2.24,45.17,PEG 3350,45.17,8.0
8Z75,"VAPOR DIFFUSION, HANGING DROP",288.0,3.500487485722578,2.25,45.44,HEPES,45.44,3.500487485722578
9AVK,"VAPOR DIFFUSION, SITTING DROP",293.15,7.0,1.88,34.7,NA MALONATE,34.7,7.0
9F4G,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.06,40.42,TRIS-HCL,40.42,8.5
9F4H,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.8,TRIS-HCL,40.8,8.5
9F4J,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.76,TRIS-HCL,40.76,8.5
9F4L,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.85,TRIS-HCL,40.85,8.5
9F4N,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.9,TRIS-HCL,40.9,8.5
9F4O,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.07,40.68,TRIS-HCL,40.68,8.5
9F4P,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.84,TRIS-HCL,40.84,8.5
9F4Q,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.07,40.66,TRIS-HCL,40.66,8.5
9F4S,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.07,40.56,TRIS-HCL,40.56,8.5
9F4T,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.75,TRIS-HCL,40.75,8.5
9F4U,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.81,TRIS-HCL,40.81,8.5
9F4V,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.07,40.61,TRIS-HCL,40.61,8.5
9F4Y,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.07,40.64,TRIS-HCL,40.64,8.5
9F5C,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.83,TRIS-HCL,40.83,8.5
9F5E,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.07,40.67,TRIS-HCL,40.67,8.5
9F5F,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.07,40.64,TRIS-HCL,40.64,8.5
8J81,"VAPOR DIFFUSION, SITTING DROP",293.0,4.5,2.51,50.97,SODIUM ACETATE TRIHYDRATE,50.97,4.5
8OSV,VAPOR DIFFUSION,291.0,7.5,2.59,52.5,HEPES,52.5,7.5
8OSZ,VAPOR DIFFUSION,291.0,7.5,2.59,52.5,HEPES,52.5,7.5
